trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
213,False,"{'a': 0.9, 'e': 0.5230977679155369}",20,8,17.36041565400621,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.9, 'e': 0.5215013386577945}",25,13,16.96841284686502,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.9, 'e': 0.5199097815033781}",20,9,-21.970514848285905,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
216,False,"{'a': 0.9, 'e': 0.5183230815832353}",35,21,17.26373639001012,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.9, 'e': 0.5167412240736916}",20,8,16.230667465475097,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.9, 'e': 0.515164194196313}",25,10,7.228953249037068,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
219,False,"{'a': 0.9, 'e': 0.513591977217767}",30,16,28.92655152918331,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.9, 'e': 0.5120245584496856}",25,15,18.949811009777065,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.9, 'e': 0.5104619232485281}",20,13,15.360449110740007,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.9, 'e': 0.5089040570154437}",25,13,21.216433145894538,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.9, 'e': 0.5073509451961357}",30,6,40.27069694796386,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.9, 'e': 0.505802573280725}",25,8,29.398886412261994,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.9, 'e': 0.5042589268036154}",30,16,22.722711951365778,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.9, 'e': 0.5027199913433572}",20,10,19.354126613192225,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.9, 'e': 0.5011857525225137}",25,14,19.355239218701826,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.9, 'e': 0.49965619600752625}",30,14,28.49288604929348,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.9, 'e': 0.49813130750858026}",20,9,20.202415127117746,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.9, 'e': 0.49661107277947203}",25,13,24.358686700069185,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.9, 'e': 0.4950954776174754}",20,9,-2.619213197552796,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
232,False,"{'a': 0.9, 'e': 0.4935845078632092}",30,12,30.66633364776958,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.9, 'e': 0.492078149400505}",30,13,23.48354849540776,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
